,id,example,description
30,century,Faker().century(),:example: 'XVII'
31,chrome,Faker().chrome(),Generate a Chrome web browser user agent string.
32,city,Faker().city(),:example: 'Sashabury'
33,city_prefix,Faker().city_prefix(),No docstring available
34,city_suffix,Faker().city_suffix(),:example: 'town'
35,color,Faker().color(),"Generate a color in a human-friendly way.

Under the hood, this method first creates a color represented in the HSV
color model and then converts it to the desired ``color_format``. The
argument ``hue`` controls the H value according to the following
rules:

- If the value is a number from ``0`` to ``360``, it will serve as the H
  value of the generated color.
- If the value is a tuple/list of 2 numbers from 0 to 360, the color's H
  value will be randomly selected from that range.
- If the value is a valid string, the color's H value will be randomly
  selected from the H range corresponding to the supplied string. Valid
  values are ``'monochrome'``, ``'red'``, ``'orange'``, ``'yellow'``,
  ``'green'``, ``'blue'``, ``'purple'``, and ``'pink'``.

The argument ``luminosity`` influences both S and V values and is
partially affected by ``hue`` as well. The finer details of this
relationship are somewhat involved, so please refer to the source code
instead if you wish to dig deeper. To keep the interface simple, this
argument either can be omitted or can accept the following string
values:``'bright'``, ``'dark'``, ``'light'``, or ``'random'``.

The argument ``color_format`` controls in which color model the color is
represented. Valid values are ``'hsv'``, ``'hsl'``, ``'rgb'``, or
``'hex'`` (default).

:sample: hue='red'
:sample: luminosity='light'
:sample: hue=(100, 200), color_format='rgb'
:sample: hue='orange', luminosity='bright'
:sample: hue=135, luminosity='dark', color_format='hsv'
:sample: hue=(300, 20), luminosity='random', color_format='hsl'"
36,color_hsl,Faker().color_hsl(),Generate a HSL color tuple in a human-friendly way.
37,color_hsv,Faker().color_hsv(),Generate a HSV color tuple in a human-friendly way.
38,color_name,Faker().color_name(),Generate a color name.
39,color_rgb,Faker().color_rgb(),Generate a RGB color tuple of integers in a human-friendly way.
40,color_rgb_float,Faker().color_rgb_float(),Generate a RGB color tuple of floats in a human-friendly way.
41,company,Faker().company(),:example: 'Acme Ltd'
42,company_email,Faker().company_email(),No docstring available
43,company_suffix,Faker().company_suffix(),:example: 'Ltd'
44,coordinate,Faker().coordinate(),Optionally center the coord and pick a point within radius.
45,country,Faker().country(),No docstring available
46,country_calling_code,Faker().country_calling_code(),No docstring available
47,country_code,Faker().country_code(),No docstring available
48,credit_card_expire,Faker().credit_card_expire(),"Generate a credit card expiry date.

This method uses |date_time_between| under the hood to generate the
expiry date, so the ``start`` and ``end`` arguments work in the same way
here as it would in that method. For the actual formatting of the expiry
date, |strftime| is used and ``date_format`` is simply passed
to that method."
49,credit_card_full,Faker().credit_card_full(),Generate a set of credit card details.
50,credit_card_number,Faker().credit_card_number(),Generate a valid credit card number.
51,credit_card_provider,Faker().credit_card_provider(),Generate a credit card provider name.
52,credit_card_security_code,Faker().credit_card_security_code(),Generate a credit card security code.
53,cryptocurrency,Faker().cryptocurrency(),No docstring available
54,cryptocurrency_code,Faker().cryptocurrency_code(),No docstring available
55,cryptocurrency_name,Faker().cryptocurrency_name(),No docstring available
56,csv,Faker().csv(),"Generate random comma-separated values.

For more information on the different arguments of this method, please refer to
:meth:`dsv() <faker.providers.misc.Provider.dsv>` which is used under the hood.

:sample: data_columns=('{{name}}', '{{address}}'), num_rows=10, include_row_ids=False
:sample: header=('Name', 'Address', 'Favorite Color'),
        data_columns=('{{name}}', '{{address}}', '{{safe_color_name}}'),
        num_rows=10, include_row_ids=True"
57,currency,Faker().currency(),No docstring available
58,currency_code,Faker().currency_code(),No docstring available
59,currency_name,Faker().currency_name(),No docstring available
60,currency_symbol,Faker().currency_symbol(),:example: $
61,current_country,Faker().current_country(),No docstring available
62,current_country_code,Faker().current_country_code(),No docstring available
63,date,Faker().date(),"Get a date string between January 1, 1970 and now.

:param pattern: Format of the date (year-month-day by default)
:example: '2008-11-27'
:return: Date"
64,date_between,Faker().date_between(),"Get a Date object based on a random date between two given dates.
Accepts date strings that can be recognized by strtotime().

:param start_date: Defaults to 30 years ago
:param end_date: Defaults to ""today""
:example: Date('1999-02-02')
:return: Date"
65,date_between_dates,Faker().date_between_dates(),"Takes two Date objects and returns a random date between the two given dates.
Accepts Date or datetime objects

:param date_start: Date
:param date_end: Date
:return: Date"
66,date_object,Faker().date_object(),"Get a date object between January 1, 1970 and now

:example: datetime.date(2016, 9, 20)"
67,date_of_birth,Faker().date_of_birth(),"Generate a random date of birth represented as a Date object,
constrained by optional miminimum_age and maximum_age
parameters.

:param tzinfo: Defaults to None.
:param minimum_age: Defaults to 0.
:param maximum_age: Defaults to 115.

:example: Date('1979-02-02')
:return: Date"
68,date_this_century,Faker().date_this_century(),"Gets a Date object for the current century.

:param before_today: include days in current century before today
:param after_today: include days in current century after today
:example: Date('2012-04-04')
:return: Date"
69,date_this_decade,Faker().date_this_decade(),"Gets a Date object for the decade year.

:param before_today: include days in current decade before today
:param after_today: include days in current decade after today
:example: Date('2012-04-04')
:return: Date"
70,date_this_month,Faker().date_this_month(),"Gets a Date object for the current month.

:param before_today: include days in current month before today
:param after_today: include days in current month after today
:example: dtdate('2012-04-04')
:return: dtdate"
71,date_this_year,Faker().date_this_year(),"Gets a Date object for the current year.

:param before_today: include days in current year before today
:param after_today: include days in current year after today
:example: Date('2012-04-04')
:return: Date"
72,date_time,Faker().date_time(),"Get a datetime object for a date between January 1, 1970 and now

:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('2005-08-16 20:39:21')
:return: datetime"
73,date_time_ad,Faker().date_time_ad(),"Get a datetime object for a date between January 1, 001 and now

:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('1265-03-22 21:15:52')
:return: datetime"
74,date_time_between,Faker().date_time_between(),"Get a datetime object based on a random date between two given dates.
Accepts date strings that can be recognized by strtotime().

:param start_date: Defaults to 30 years ago
:param end_date: Defaults to ""now""
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('1999-02-02 11:42:52')
:return: datetime"
75,date_time_between_dates,Faker().date_time_between_dates(),"Takes two datetime objects and returns a random datetime between the two
given datetimes.
Accepts datetime objects.

:param datetime_start: datetime
:param datetime_end: datetime
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('1999-02-02 11:42:52')
:return: datetime"
76,date_time_this_century,Faker().date_time_this_century(),"Gets a datetime object for the current century.

:param before_now: include days in current century before today
:param after_now: include days in current century after today
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('2012-04-04 11:02:02')
:return: datetime"
77,date_time_this_decade,Faker().date_time_this_decade(),"Gets a datetime object for the decade year.

:param before_now: include days in current decade before today
:param after_now: include days in current decade after today
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('2012-04-04 11:02:02')
:return: datetime"
78,date_time_this_month,Faker().date_time_this_month(),"Gets a datetime object for the current month.

:param before_now: include days in current month before today
:param after_now: include days in current month after today
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('2012-04-04 11:02:02')
:return: datetime"
79,date_time_this_year,Faker().date_time_this_year(),"Gets a datetime object for the current year.

:param before_now: include days in current year before today
:param after_now: include days in current year after today
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('2012-04-04 11:02:02')
:return: datetime"
80,day_of_month,Faker().day_of_month(),No docstring available
81,day_of_week,Faker().day_of_week(),No docstring available
82,del_arguments,Faker().del_arguments(),"Delete an argument from an argument group or the entire argument group.
Used in conjunction with the set_arguments() method.

generator.del_arguments('small')
generator.del_arguments('small', 'max_value')"
83,dga,Faker().dga(),"Generates a domain name by given date
https://en.wikipedia.org/wiki/Domain_generation_algorithm

:type year: int
:type month: int
:type day: int
:type tld: str
:type length: int
:rtype: str"
84,domain_name,Faker().domain_name(),"Produce an Internet domain name with the specified number of
subdomain levels.

>>> domain_name()
nichols-phillips.com
>>> domain_name(2)
williamson-hopkins.jackson.com"
85,domain_word,Faker().domain_word(),No docstring available
86,dsv,Faker().dsv(),"Generate random delimiter-separated values.

This method's behavior share some similarities with ``csv.writer``. The ``dialect`` and
``**fmtparams`` arguments are the same arguments expected by ``csv.writer`` to control its
behavior, and instead of expecting a file-like object to where output will be written, the
output is controlled by additional keyword arguments and is returned as a string.

The ``dialect`` argument defaults to ``'faker-csv'`` which is the name of a ``csv.excel``
subclass with full quoting enabled.

The ``header`` argument expects a list or a tuple of strings that will serve as the header row
if supplied. The ``data_columns`` argument expects a list or a tuple of string tokens, and these
string tokens will be passed to  :meth:`pystr_format() <faker.providers.python.Provider.pystr_format>`
for data generation. Argument Groups are used to pass arguments to the provider methods.
Both ``header`` and ``data_columns`` must be of the same length.

Example:
    fake.set_arguments('top_half', {'min_value': 50, 'max_value': 100})
    fake.dsv(data_columns=('{{ name }}', '{{ pyint:top_half }}'))

The ``num_rows`` argument controls how many rows of data to generate, and the ``include_row_ids``
argument may be set to ``True`` to include a sequential row ID column.

:sample: dialect='excel', data_columns=('{{name}}', '{{address}}')
:sample: dialect='excel-tab', data_columns=('{{name}}', '{{address}}'), include_row_ids=True
:sample: data_columns=('{{name}}', '{{address}}'), num_rows=5, delimiter='$'"
87,ean,Faker().ean(),"Generate an EAN barcode of the specified ``length``.

The value of ``length`` can only be ``8`` or ``13`` (default) which will
create an EAN-8 or an EAN-13 barcode respectively.

If a value for ``prefixes`` is specified, the result will begin with one
of the sequences in ``prefixes``.

:sample: length=13
:sample: length=8
:sample: prefixes=('00',)
:sample: prefixes=('45', '49')"
88,ean13,Faker().ean13(),"Generate an EAN-13 barcode.

If ``leading_zero`` is ``True``, the leftmost digit of the barcode will
be set to ``0``. If ``False``, the leftmost digit cannot be ``0``. If
``None`` (default), the leftmost digit can be any digit.

If a value for ``prefixes`` is specified, the result will begin with one
of the sequences in ``prefixes`` and will ignore ``leading_zero``.

This method uses the standard barcode provider's |ean13| under the
hood with the ``prefixes`` argument set to the correct value to attain
the behavior described above.

.. note::
   EAN-13 barcode that starts with a zero can be converted to UPC-A
   by dropping the leading zero. This may cause problems with readers
   that treat all of these code as UPC-A codes and drop the first digit
   when reading it.

   You can set the argument ``prefixes`` ( or ``leading_zero`` for
   convenience) explicitly to avoid or to force the generated barcode to
   start with a zero. You can also generate actual UPC-A barcode with
   |EnUsBarcodeProvider.upc_a|.

:sample:
:sample: leading_zero=False
:sample: leading_zero=True
:sample: prefixes=('00',)
:sample: prefixes=('45', '49')"
89,ean8,Faker().ean8(),"Generate an EAN-8 barcode.

This method uses |ean| under the hood with the ``length`` argument
explicitly set to ``8``.

If a value for ``prefixes`` is specified, the result will begin with one
of the sequences in ``prefixes``.

:sample:
:sample: prefixes=('00',)
:sample: prefixes=('45', '49')"
90,ein,Faker().ein(),"Generate a random United States Employer Identification Number (EIN).

An United States An Employer Identification Number (EIN) is
also known as a Federal Tax Identification Number, and is
used to identify a business entity. EINs follow a format of a
two-digit prefix followed by a hyphen and a seven-digit sequence:
##-######

https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers"
91,email,Faker().email(),No docstring available
92,emoji,Faker().emoji(),:example: '😉'
93,enum,Faker().enum(),"Returns a random enum of the provided input `Enum` type.

:param enum_cls: The `Enum` type to produce the value for.
:returns: A randomly selected enum value."
94,file_extension,Faker().file_extension(),"Generate a file extension under the specified ``category``.

If ``category`` is ``None``, a random category will be used. The list of
valid categories include: ``'audio'``, ``'image'``, ``'office'``,
``'text'``, and ``'video'``.

:sample:
:sample: category='image'"
95,file_name,Faker().file_name(),"Generate a random file name with extension.

If ``extension`` is ``None``, a random extension will be created
under the hood using |file_extension| with the specified
``category``. If a value for ``extension`` is provided, the
value will be used instead, and ``category`` will be ignored.
The actual name part itself is generated using |word|. If
extension is an empty string then no extension will be added,
and file_name will be the same as |word|.

:sample: size=10
:sample: category='audio'
:sample: extension='abcdef'
:sample: category='audio', extension='abcdef'
:sample: extension=''"
96,file_path,Faker().file_path(),"Generate an pathname to a file.

This method uses |file_name| under the hood to generate the file
name itself, and ``depth`` controls the depth of the directory
path, and |word| is used under the hood to generate the
different directory names.

If ``absolute`` is ``True`` (default), the generated path starts
with ``/`` and is absolute. Otherwise, the generated path is
relative.

If used, ``extension`` can be either a string, forcing that
extension, a sequence of strings (one will be picked at random),
or an empty sequence (the path will have no extension). Default
behaviour is the same as |file_name|

if ``file_system`` is set (default=""linux""), the generated path uses
specified file system path standard, the list of valid file systems include:
``'windows'``, ``'linux'``.

:sample: size=10
:sample: depth=3
:sample: depth=5, category='video'
:sample: depth=5, category='video', extension='abcdef'
:sample: extension=[]
:sample: extension=''
:sample: extension=[""a"", ""bc"", ""def""]
:sample: depth=5, category='video', extension='abcdef', file_system='windows'"
97,firefox,Faker().firefox(),Generate a Mozilla Firefox web browser user agent string.
98,first_name,Faker().first_name(),No docstring available
99,first_name_female,Faker().first_name_female(),No docstring available
100,first_name_male,Faker().first_name_male(),No docstring available
101,first_name_nonbinary,Faker().first_name_nonbinary(),No docstring available
102,fixed_width,Faker().fixed_width(),"Generate random fixed width values.

Using a list of tuple records that is passed as ``data_columns``, that
defines the structure that will be generated. Arguments within the
record are provider specific, and should be a dictionary that will be
passed to the provider method.

Data Column List format
    [('field width', 'definition', {'arguments'})]

The definition can be 'provider', 'provider:argument_group', tokenized
'string {{ provider:argument_group }}' that is passed to the python
provider method pystr_format() for generation, or a fixed '@word'.
Using Lists, Tuples, and Dicts as a definition for structure.

Argument Groups can be used to pass arguments to the provider methods,
but will override the arguments supplied in the tuple record.

Example:
    fake.set_arguments('top_half', {'min_value': 50, 'max_value': 100})
    fake.fixed_width(data_columns=[(20, 'name'), (3, 'pyint:top_half')])

:param data_columns: specification for the data structure
:type data_columns: list
:param num_rows: number of rows the generator will yield
:type num_rows: int
:param align: positioning of the value. (left, middle, right)
:type align: str
:return: Serialized Fixed Width data
:rtype: str

:sample: data_columns=[(20, 'name'), (3, 'pyint', {'min_value': 50,
        'max_value': 100})], align='right', num_rows=2"
103,format,Faker().format(),This is a secure way to make a fake from another Provider.
104,free_email,Faker().free_email(),No docstring available
105,free_email_domain,Faker().free_email_domain(),No docstring available
106,future_date,Faker().future_date(),"Get a Date object based on a random date between 1 day from now and a
given date.
Accepts date strings that can be recognized by strtotime().

:param end_date: Defaults to ""+30d""
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: dtdate('2030-01-01')
:return: dtdate"
107,future_datetime,Faker().future_datetime(),"Get a datetime object based on a random date between 1 second form now
and a given date.
Accepts date strings that can be recognized by strtotime().

:param end_date: Defaults to ""+30d""
:param tzinfo: timezone, instance of datetime.tzinfo subclass
:example: datetime('1999-02-02 11:42:52')
:return: datetime"
108,get_arguments,Faker().get_arguments(),"Get the value of an argument configured within a argument group, or
the entire group as a dictionary. Used in conjunction with the
set_arguments() method.

generator.get_arguments('small', 'max_value')
generator.get_arguments('small')"
109,get_formatter,Faker().get_formatter(),No docstring available
110,get_providers,Faker().get_providers(),Returns added providers.
111,hex_color,Faker().hex_color(),Generate a color formatted as a hex triplet.
112,hexify,Faker().hexify(),"Generate a string with each circumflex ('^') in ``text``
replaced with a random hexadecimal character.

By default, ``upper`` is set to False. If set to ``True``, output
will be formatted using uppercase hexadecimal characters.

:sample: text='MAC Address: ^^:^^:^^:^^:^^:^^'
:sample: text='MAC Address: ^^:^^:^^:^^:^^:^^', upper=True"
113,hostname,Faker().hostname(),"Produce a hostname with specified number of subdomain levels.

>>> hostname()
db-01.nichols-phillips.com
>>> hostname(0)
laptop-56
>>> hostname(2)
web-12.williamson-hopkins.jackson.com"
114,http_method,Faker().http_method(),"Returns random HTTP method
https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods

:rtype: str"
115,http_status_code,Faker().http_status_code(),"Returns random HTTP status code
https://www.rfc-editor.org/rfc/rfc9110#name-status-codes
:param include_unassigned: Whether to include status codes which have
    not yet been assigned or are unused

:return: a random three digit status code
:rtype: int

:example: 404"
116,iana_id,Faker().iana_id(),"Returns IANA Registrar ID
https://www.iana.org/assignments/registrar-ids/registrar-ids.xhtml

:rtype: str"
117,iban,Faker().iban(),Generate an International Bank Account Number (IBAN).
119,image_url,Faker().image_url(),"Returns URL to placeholder image
Example: http://placehold.it/640x480

:param width: Optional image width
:param height: Optional image height
:param placeholder_url: Optional template string of image URLs from custom
    placeholder service. String must contain ``{width}`` and ``{height}``
    placeholders, eg: ``https:/example.com/{width}/{height}``.
:rtype: str"
120,internet_explorer,Faker().internet_explorer(),Generate an IE web browser user agent string.
121,invalid_ssn,Faker().invalid_ssn(),"Generate a random invalid United States Social Security Identification Number (SSN).

Invalid SSNs have the following characteristics:
Cannot begin with the number 9
Cannot begin with 666 in positions 1 - 3
Cannot begin with 000 in positions 1 - 3
Cannot contain 00 in positions 4 - 5
Cannot contain 0000 in positions 6 - 9

https://www.ssa.gov/kc/SSAFactSheet--IssuingSSNs.pdf

Additionally, return an invalid SSN that is NOT a valid ITIN by excluding certain ITIN related ""group"" values"
122,ios_platform_token,Faker().ios_platform_token(),Generate an iOS platform token used in user agent strings.
123,ipv4,Faker().ipv4(),"Returns a random IPv4 address or network with a valid CIDR.

:param network: Network address
:param address_class: IPv4 address class (a, b, or c)
:param private: Public or private
:returns: IPv4"
124,ipv4_network_class,Faker().ipv4_network_class(),"Returns a IPv4 network class 'a', 'b' or 'c'.

:returns: IPv4 network class"
125,ipv4_private,Faker().ipv4_private(),"Returns a private IPv4.

:param network: Network address
:param address_class: IPv4 address class (a, b, or c)
:returns: Private IPv4"
126,ipv4_public,Faker().ipv4_public(),"Returns a public IPv4 excluding private blocks.

:param network: Network address
:param address_class: IPv4 address class (a, b, or c)
:returns: Public IPv4"
127,ipv6,Faker().ipv6(),Produce a random IPv6 address or network with a valid CIDR
128,isbn10,Faker().isbn10(),No docstring available
129,isbn13,Faker().isbn13(),No docstring available
130,iso8601,Faker().iso8601(),"Get a timestamp in ISO 8601 format (or one of its profiles).

:param tzinfo: timezone, instance of datetime.tzinfo subclass
:param sep: separator between date and time, defaults to 'T'
:param timespec: format specifier for the time part, defaults to 'auto' - see datetime.isoformat() documentation
:example: '2003-10-21T16:05:52+0000'"
131,items,Faker().items(),No docstring available
132,itin,Faker().itin(),"Generate a random United States Individual Taxpayer Identification Number (ITIN).

An United States Individual Taxpayer Identification Number
(ITIN) is a tax processing number issued by the Internal
Revenue Service. It is a nine-digit number that always begins
with the number 9 and has a range of 70-88 in the fourth and
fifth digit. Effective April 12, 2011, the range was extended
to include 900-70-0000 through 999-88-9999, 900-90-0000
through 999-92-9999 and 900-94-0000 through 999-99-9999.
https://www.irs.gov/individuals/international-taxpayers/general-itin-information"
133,job,Faker().job(),No docstring available
134,json,Faker().json(),"Generate random JSON structure values.

Using a dictionary or list of records that is passed as ``data_columns``,
define the structure that is used to build JSON structures.  For complex
data structures it is recommended to use the dictionary format.

Data Column Dictionary format:
    {'key name': 'definition'}

The definition can be 'provider', 'provider:argument_group', tokenized
'string {{ provider:argument_group }}' that is passed to the python
provider method pystr_format() for generation, or a fixed '@word'.
Using Lists, Tuples, and Dicts as a definition for structure.

Example:
    fake.set_arguments('top_half', {'min_value': 50, 'max_value': 100})
    fake.json(data_columns={'Name': 'name', 'Score': 'pyint:top_half'})

Data Column List format:
    [('key name', 'definition', {'arguments'})]

With the list format the definition can be a list of records, to create
a list within the structure data.  For literal entries within the list,
set the 'field_name' to None.

:param data_columns: specification for the data structure
:type data_columns: dict
:param num_rows: number of rows the returned
:type num_rows: int
:param indent: number of spaces to indent the fields
:type indent: int
:param cls: optional json encoder to use for non-standard objects such as datetimes
:type cls: json.JSONEncoder
:return: Serialized JSON data
:rtype: str

:sample: data_columns={'Spec': '@1.0.1', 'ID': 'pyint',
        'Details': {'Name': 'name', 'Address': 'address'}}, num_rows=2
:sample: data_columns={'Candidates': ['name', 'name', 'name']},
        num_rows=1
:sample: data_columns=[('Name', 'name'), ('Points', 'pyint',
        {'min_value': 50, 'max_value': 100})], num_rows=1"
135,json_bytes,Faker().json_bytes(),"Generate random JSON structure and return as bytes.

For more information on the different arguments of this method, refer to
:meth:`json() <faker.providers.misc.Provider.json>` which is used under the hood."
136,language_code,Faker().language_code(),Generate a random i18n language code (e.g. en).
137,language_name,Faker().language_name(),Generate a random i18n language name (e.g. English).
138,last_name,Faker().last_name(),No docstring available
139,last_name_female,Faker().last_name_female(),No docstring available
140,last_name_male,Faker().last_name_male(),No docstring available
141,last_name_nonbinary,Faker().last_name_nonbinary(),No docstring available
142,latitude,Faker().latitude(),No docstring available
143,latlng,Faker().latlng(),No docstring available
144,lexify,Faker().lexify(),"Generate a string with each question mark ('?') in ``text``
replaced with a random character from ``letters``.

By default, ``letters`` contains all ASCII letters, uppercase and lowercase.

:sample: text='Random Identifier: ??????????'
:sample: text='Random Identifier: ??????????', letters='ABCDE'"
145,license_plate,Faker().license_plate(),Generate a license plate.
146,linux_platform_token,Faker().linux_platform_token(),Generate a Linux platform token used in user agent strings.
147,linux_processor,Faker().linux_processor(),Generate a Linux processor token used in user agent strings.
148,local_latlng,Faker().local_latlng(),"Returns a location known to exist on land in a country specified by `country_code`.
Defaults to 'en_US'. See the `land_coords` list for available locations/countries."
149,locale,Faker().locale(),Generate a random underscored i18n locale code (e.g. en_US).
150,localized_ean,Faker().localized_ean(),"Generate a localized EAN barcode of the specified ``length``.

The value of ``length`` can only be ``8`` or ``13`` (default) which will
create an EAN-8 or an EAN-13 barcode respectively.

This method uses the standard barcode provider's |ean| under the hood
with the ``prefixes`` argument explicitly set to ``local_prefixes`` of
a localized barcode provider implementation.

:sample:
:sample: length=13
:sample: length=8"
151,localized_ean13,Faker().localized_ean13(),"Generate a localized EAN-13 barcode.

This method uses |localized_ean| under the hood with the ``length``
argument explicitly set to ``13``."
152,localized_ean8,Faker().localized_ean8(),"Generate a localized EAN-8 barcode.

This method uses |localized_ean| under the hood with the ``length``
argument explicitly set to ``8``."
153,location_on_land,Faker().location_on_land(),"Returns a random tuple specifying a coordinate set guaranteed to exist on land.
Format is `(latitude, longitude, place name, two-letter country code, timezone)`
Pass `coords_only` to return coordinates without metadata."
154,longitude,Faker().longitude(),No docstring available
155,mac_address,Faker().mac_address(),"Returns a random MAC address.

:param multicast: Multicast address
:returns: MAC Address"
156,mac_platform_token,Faker().mac_platform_token(),Generate a MacOS platform token used in user agent strings.
157,mac_processor,Faker().mac_processor(),Generate a MacOS processor token used in user agent strings.
158,md5,Faker().md5(),"Generate a random MD5 hash.

If ``raw_output`` is ``False`` (default), a hexadecimal string representation of the MD5 hash
will be returned. If ``True``, a ``bytes`` object representation will be returned instead.

:sample: raw_output=False
:sample: raw_output=True"
159,military_apo,Faker().military_apo(),:example: 'PSC 5394 Box 3492
160,military_dpo,Faker().military_dpo(),:example: 'Unit 3333 Box 9342'
161,military_ship,Faker().military_ship(),:example: 'USS'
162,military_state,Faker().military_state(),:example: 'APO'
163,mime_type,Faker().mime_type(),"Generate a mime type under the specified ``category``.

If ``category`` is ``None``, a random category will be used. The list of
valid categories include ``'application'``, ``'audio'``, ``'image'``,
``'message'``, ``'model'``, ``'multipart'``, ``'text'``, and
``'video'``.

:sample:
:sample: category='application'"
164,month,Faker().month(),No docstring available
165,month_name,Faker().month_name(),No docstring available
166,msisdn,Faker().msisdn(),https://en.wikipedia.org/wiki/MSISDN
167,name,Faker().name(),:example: 'John Doe'
168,name_female,Faker().name_female(),No docstring available
169,name_male,Faker().name_male(),No docstring available
170,name_nonbinary,Faker().name_nonbinary(),No docstring available
171,nic_handle,Faker().nic_handle(),"Returns NIC Handle ID
https://www.apnic.net/manage-ip/using-whois/guide/person/

:rtype: str"
172,nic_handles,Faker().nic_handles(),"Returns NIC Handle ID list

:rtype: list[str]"
173,null_boolean,Faker().null_boolean(),"Generate ``None``, ``True``, or ``False``, each with equal probability."
174,numerify,Faker().numerify(),"Generate a string with each placeholder in ``text`` replaced according
to the following rules:

- Number signs ('#') are replaced with a random digit (0 to 9).
- Percent signs ('%') are replaced with a random non-zero digit (1 to 9).
- Dollar signs ('$') are replaced with a random digit above two (2 to 9).
- Exclamation marks ('!') are replaced with a random digit or an empty string.
- At symbols ('@') are replaced with a random non-zero digit or an empty string.

Under the hood, this method uses :meth:`random_digit() <faker.providers.BaseProvider.random_digit>`,
:meth:`random_digit_not_null() <faker.providers.BaseProvider.random_digit_not_null>`,
:meth:`random_digit_or_empty() <faker.providers.BaseProvider.random_digit_or_empty>`,
and :meth:`random_digit_not_null_or_empty() <faker.providers.BaseProvider.random_digit_not_null_or_empty>`
to generate the random values.

:sample: text='Intel Core i%-%%##K vs AMD Ryzen % %%##X'
:sample: text='!!! !!@ !@! !@@ @!! @!@ @@! @@@'"
175,opera,Faker().opera(),Generate an Opera web browser user agent string.
